YEAR,MO,DY,ALLSKY_SFC_UV_INDEX,WS10M,T2M_MAX,T2M_MIN,PRECTOTCORR,QV2M,RH2M,PS,WD10M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,WS2M,T2MDEW,PSC,WSC,Climate_Condition
2024,2,13,3.05,1.54,29.26,16.26,0.0,12.27,71.25,93.53,70.62,6.4,6.69,0.3,16.05,101.48,1.71,Mild
2024,2,14,2.95,1.38,30.35,18.76,0.0,14.16,73.88,93.45,79.19,5.94,6.36,0.27,18.3,101.35,1.68,Hot
2024,2,15,2.98,1.44,29.93,17.19,0.0,12.45,69.19,93.44,75.56,6.45,6.67,0.24,16.26,101.36,1.64,Mild
2024,2,16,3.18,1.57,30.43,18.37,0.0,13.0,69.56,93.45,77.0,6.67,6.75,0.29,16.91,101.36,1.78,Hot
2024,2,17,2.96,1.15,31.62,18.33,0.0,13.37,69.38,93.36,92.81,6.58,6.63,0.27,17.34,101.25,1.24,Hot
2024,2,18,3.17,1.15,31.29,17.39,0.0,11.78,64.31,93.34,75.0,6.65,6.72,0.28,15.27,101.24,1.23,Hot
2024,2,19,3.1,0.96,32.02,17.42,0.0,12.63,65.94,93.37,142.5,6.62,6.65,0.29,16.41,101.25,1.06,Hot
2024,2,20,3.05,1.09,32.11,18.57,0.16,13.55,68.69,93.41,168.0,6.44,6.51,0.35,17.46,101.28,1.14,Hot
2024,2,21,2.75,0.98,31.55,21.19,0.39,15.44,73.38,93.37,230.88,5.82,6.3,0.34,19.62,101.23,0.98,Hot
2024,2,22,2.55,1.32,30.51,21.15,0.0,15.2,74.75,93.4,279.56,5.72,5.95,0.44,19.43,101.28,1.37,Hot
2024,2,23,3.23,1.15,32.55,19.56,0.0,14.53,71.75,93.34,278.88,6.38,6.48,0.41,18.64,101.2,1.06,Hot
2024,2,24,2.82,0.88,31.86,20.4,0.0,15.2,73.31,93.29,268.19,5.75,6.12,0.37,19.42,101.15,0.79,Hot
2024,2,25,2.95,0.73,32.8,20.7,0.0,14.34,68.62,93.19,87.38,6.08,6.17,0.19,18.41,101.02,0.92,Hot
2024,2,26,2.81,1.68,32.01,18.11,0.0,12.51,62.94,93.2,81.44,6.13,6.65,0.3,16.25,101.06,1.95,Hot
2024,2,27,3.17,1.57,31.93,21.0,0.0,13.79,65.38,93.26,81.56,6.18,6.81,0.27,17.89,101.11,1.81,Hot
2024,2,28,3.45,1.49,32.52,18.73,0.0,12.02,61.5,93.25,76.5,6.98,6.99,0.31,15.58,101.11,1.57,Hot
2024,2,29,3.43,1.3,33.07,19.12,0.0,11.84,60.0,93.31,81.88,6.93,6.99,0.3,15.3,101.17,1.39,Hot
2024,3,1,3.08,1.49,31.12,18.02,0.0,11.78,61.0,93.4,81.81,6.45,6.89,0.32,15.34,101.28,1.75,Hot
2024,3,2,2.66,1.03,32.6,17.19,0.0,10.19,53.69,93.4,142.38,5.63,7.02,0.38,12.92,101.28,1.11,Hot
2024,3,3,3.28,0.8,33.48,19.29,0.0,12.45,61.31,93.33,180.38,6.7,6.85,0.4,16.14,101.18,0.63,Hot
2024,3,4,3.27,0.93,34.4,19.51,0.0,13.55,66.12,93.32,272.56,6.68,6.83,0.42,17.36,101.16,0.78,Hot
2024,3,5,3.35,0.98,34.76,19.4,0.0,13.06,63.25,93.32,154.12,6.74,6.8,0.43,16.66,101.15,0.85,Hot
2024,3,6,2.91,1.16,33.88,20.51,0.0,14.04,67.19,93.35,268.19,6.11,6.64,0.49,17.94,101.18,1.06,Hot
2024,3,7,3.17,0.7,34.83,20.87,0.0,12.76,60.19,93.29,191.0,6.63,6.72,0.34,16.2,101.1,0.59,Hot
2024,3,8,3.05,1.0,33.43,20.66,0.02,14.16,67.75,93.34,258.5,6.4,6.61,0.41,18.05,101.18,0.83,Hot
2024,3,9,2.8,0.83,34.74,20.58,0.0,13.24,62.75,93.34,217.25,6.06,6.43,0.34,16.95,101.16,0.82,Hot
2024,3,10,3.02,0.8,34.88,21.26,0.0,13.92,63.19,93.44,181.44,6.0,6.48,0.35,17.86,101.26,0.8,Hot
2024,3,11,2.96,0.88,34.55,20.35,0.01,13.06,60.44,93.56,145.19,6.23,6.37,0.34,16.8,101.39,0.87,Hot
2024,3,12,3.22,1.0,34.72,20.44,0.11,13.0,60.5,93.5,136.88,6.44,6.57,0.35,16.69,101.33,1.0,Hot
2024,3,13,3.08,0.94,33.76,20.99,0.28,13.49,64.62,93.46,237.44,5.68,6.55,0.4,17.16,101.31,0.95,Hot
2024,3,14,2.89,1.21,33.43,21.36,0.93,15.38,71.38,93.44,293.62,5.73,6.37,0.48,19.55,101.28,0.99,Hot
2024,3,15,2.75,0.9,35.35,21.21,0.07,14.53,64.69,93.31,290.56,5.65,6.32,0.45,18.48,101.11,0.68,Hot
2024,3,16,2.84,0.56,35.19,21.04,0.16,13.55,61.5,93.32,177.19,5.8,6.51,0.28,17.27,101.12,0.55,Hot
2024,3,17,3.45,1.24,34.53,18.71,0.0,11.78,57.88,93.34,158.19,6.65,7.22,0.51,14.94,101.18,1.16,Hot
2024,3,18,3.5,0.8,34.76,19.3,0.0,11.78,57.5,93.32,177.56,6.81,7.14,0.41,14.77,101.15,0.68,Hot
2024,3,19,3.46,0.91,35.16,19.76,0.0,11.9,58.06,93.27,154.19,6.89,7.04,0.38,14.9,101.09,0.87,Hot
2024,3,20,3.38,0.95,35.58,20.07,0.19,12.21,58.62,93.26,188.25,6.69,7.01,0.43,15.37,101.07,0.91,Hot
2024,3,21,3.33,1.09,35.13,18.58,0.2,12.82,60.25,93.22,128.06,6.52,6.82,0.38,16.51,101.03,1.18,Hot
2024,3,22,3.08,0.86,34.94,21.1,0.11,14.22,62.75,93.1,150.75,6.1,6.86,0.3,18.16,100.89,0.92,Hot
2024,3,23,3.22,0.91,35.12,21.35,2.65,14.89,67.25,93.13,156.25,6.34,6.74,0.31,18.88,100.93,0.99,Hot
2024,3,24,3.29,1.02,35.23,20.91,1.68,13.18,61.38,93.26,106.38,6.35,6.96,0.32,16.51,101.06,1.05,Hot
2024,3,25,3.3,1.29,35.55,18.64,0.08,11.35,55.0,93.29,82.31,7.0,7.08,0.37,14.26,101.1,1.31,Hot
2024,3,26,3.27,1.05,35.62,19.72,0.43,11.05,52.75,93.37,111.44,6.71,7.0,0.41,13.6,101.19,1.0,Hot
2024,3,27,3.77,0.82,36.11,21.26,0.0,12.7,58.0,93.46,231.06,6.97,7.19,0.39,16.08,101.27,0.68,Hot
2024,3,28,3.68,0.95,35.8,20.53,2.51,14.04,63.38,93.37,185.88,6.84,7.11,0.4,17.86,101.17,0.89,Hot
2024,3,29,3.35,0.8,34.92,22.7,3.25,14.89,65.44,93.27,205.88,6.3,6.89,0.35,18.73,101.06,0.77,Hot
2024,3,30,3.76,0.88,36.08,21.89,0.0,14.71,64.31,93.35,209.06,6.82,7.16,0.36,18.55,101.14,0.91,Hot
2024,3,31,3.36,0.98,35.26,22.68,0.0,15.01,64.12,93.38,249.56,6.49,6.89,0.38,19.0,101.17,0.79,Hot
2024,4,1,3.41,0.97,35.47,22.11,0.01,15.26,65.19,93.23,260.19,6.61,7.12,0.38,19.31,101.01,0.78,Hot
2024,4,2,3.19,0.92,34.94,22.95,1.28,16.11,68.38,93.1,248.94,6.52,7.0,0.39,20.17,100.87,0.78,Hot
2024,4,3,2.98,1.02,35.66,22.79,1.23,15.99,67.88,93.15,286.94,5.85,6.87,0.43,19.93,100.92,0.78,Hot
2024,4,4,3.24,0.8,35.96,23.03,1.25,15.87,66.25,93.17,242.75,6.37,7.16,0.35,19.87,100.93,0.7,Hot
2024,4,5,3.59,1.02,36.28,22.9,1.75,16.17,67.81,93.14,285.12,6.81,7.15,0.39,20.08,100.9,0.86,Hot
2024,4,6,3.86,0.8,35.2,23.47,0.0,15.62,66.06,93.07,250.38,6.85,7.3,0.32,19.46,100.83,0.73,Hot
